Unnamed: 0,Type of dwelling,General Zoning,Linear feet of street,Lot size in square feet,Type of Acess Road to Property,General shape of property,Flatness of the property,Utilities,Lot configuration,Slope of property,Neighborhood,Proximity to various conditions,Condition2,BldgType,Style of dwelling,Rates the overall material,Rates the overall condition of the house,Original construction date,YearRemodAdd,Type of roof,Roof material,Exterior covering on the house,Exterior2nd,Masonry veneer area in square feet, Evaluates the quality of the material on the exterior,Evaluates the present condition of the material on the exterior,Foundation,Evaluates the height of the basement,Evaluate the general condition of the basement,Refers to walkout or garden-level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area (if multiple types),Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of Heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,econd-floor square feet,	Low-quality finished square feet,Above ground living area square feet,Basement full bathrooms,Basement half bathrooms,Full bathrooms above grade,Half Bathroom,BedroomAbvGr,KitchenAbvGr,Kitchen Quality,Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,The year garage was built,GarageFinish,Size of garage in car capacity,Size of garage in square feet,Garage quality,Garage condition,PavedDrive,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three-season porch area in square feet,Screen porch area in square feet,Pool area in square feet,Pool quality,Fence Quality,Miscellaneous feature not covered in other categories,$Value of miscellaneous feature,Month Sold (MM),Year Sold (YYYY),SaleType,SaleCondition,SalePrice
304,2-1/2 STORY ALL AGES,Residential Medium Density,87,18386,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,OldTown,Norm,Norm,1Fam,Two and one-half story&2nd level finished,Good,Excellent,1880,2002,Gable,Standard (Composite) Shingle,Cement Board,CmentBd,0,TA,Average/Typical,BrkTil,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,1470,1470,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1675,1818,0,3493,0,0,3,0,3,1,Good,10,Typical Functionality,1,Excellent - Exceptional Masonry Fireplace,Attached to the home,2003.0,Unfinished,3,870,Typical/Average,Typical/Average,Paved,302,0,0,0,0,0,No,No,No,0,May,2008,Warranty Deed - Conventional,Normal Sale,295000
305,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,10386,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Norm,Norm,1Fam,One story,Very Good,Average,2004,2005,Gable,Standard (Composite) Shingle,Cement Board,CmentBd,246,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,1464,Unfinished,0,536,2000,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,2000,0,0,2000,1,0,2,0,3,1,Good,8,Typical Functionality,0,No,Attached to the home,2004.0,Finished,3,888,Typical/Average,Typical/Average,Paved,168,0,0,0,0,0,No,No,No,0,Jul,2007,Warranty Deed - Conventional,Normal Sale,305900
306,2-STORY 1946 & NEWER,Residential Low-Density,116,13474,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,SawyerW,Feedr,Norm,1Fam,Two-story,Good,Average,1990,1991,Gable,Standard (Composite) Shingle,Hard Board,Plywood,246,Gd,Average/Typical,CBlock,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,700,Unfinished,0,0,700,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,1122,1121,0,2243,1,0,2,1,4,1,Good,8,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1990.0,Rough Finished,3,746,Typical/Average,Typical/Average,Paved,127,44,224,0,0,0,No,No,No,0,Jun,2007,Warranty Deed - Conventional,Normal Sale,225000
307,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,0,7920,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Iowa DOT and Rail Road,Artery,Norm,1Fam,One and one-half story &2nd level finished,Above Average,Good,1920,1950,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,0,TA,Fair,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,319,319,Gas forced warm air furnace,Average/Typical,Y,Fuse Box over 60 AMP and all Romex wiring (Average),1035,371,0,1406,0,0,1,0,3,1,Fair,6,Typical Functionality,0,No,No,2005.0,No,0,0,No,No,Dirt/Gravel,0,144,0,0,0,0,No,Minimum Privacy,No,0,Mar,2008,Warranty Deed - Conventional,Normal Sale,89500
308,1-STORY 1945 & OLDER,Residential Low-Density,0,12342,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Norm,Norm,1Fam,One story,Below Average,Average,1940,1950,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,262,Unfinished,0,599,861,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,861,0,0,861,0,0,1,0,1,1,Typical/Average,4,Typical Functionality,0,No,Detached from home,1961.0,Unfinished,2,539,Typical/Average,Typical/Average,Paved,158,0,0,0,0,0,No,No,No,0,Mar,2009,Warranty Deed - Conventional,Normal Sale,82500
309,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,90,12378,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Norm,Norm,1Fam,One story,Excellent,Average,2003,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,Gd,Average/Typical,PConc,Excellent (100+ inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters,1274,Unfinished,0,622,1896,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1944,0,0,1944,1,0,2,0,3,1,Excellent,8,Typical Functionality,3,Excellent - Exceptional Masonry Fireplace,Attached to the home,2003.0,Finished,3,708,Typical/Average,Typical/Average,Paved,208,175,0,0,0,0,No,No,No,0,Nov,2006,Warranty Deed - Conventional,Normal Sale,360000
310,2-STORY 1946 & NEWER,Residential Low-Density,0,7685,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Gilbert,Norm,Norm,1Fam,Two-story,Above Average,Average,1993,1994,Gable,Standard (Composite) Shingle,Hard Board,HdBoard,112,TA,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,518,Unfinished,0,179,697,Gas forced warm air furnace,Good,Y,Standard Circuit Breakers & Romex,697,804,0,1501,0,0,2,1,3,1,Good,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1993.0,Finished,2,420,Typical/Average,Typical/Average,Paved,190,63,0,0,0,0,No,No,No,0,May,2006,Warranty Deed - Conventional,Normal Sale,165600
311,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,50,8000,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Above Average,Above Average,1948,2002,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,TA,Good,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,680,Unfinished,0,292,972,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,972,0,0,972,1,0,1,0,2,1,Typical/Average,5,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1948.0,Unfinished,1,240,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,No,No,0,May,2009,Warranty Deed - Conventional,Normal Sale,132000
312,2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Medium Density,65,7800,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,OldTown,Artery,Norm,2fmCon,One and one-half story &2nd level finished,Average,Good,1939,1950,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,0,TA,Average/Typical,CBlock,Good (90-99 inches),Typical - slight dampness allowed,Minimum Exposure,Average Rec Room,507,Unfinished,0,286,793,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,793,325,0,1118,1,0,1,0,3,1,Typical/Average,5,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1939.0,Unfinished,2,410,Typical/Average,Typical/Average,Paved,0,0,0,0,271,0,No,Minimum Privacy,No,0,May,2006,Warranty Deed - Conventional,Normal Sale,119900
313,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,150,215245,Paved,Irregular,Low,"All public Utilities (E,G,W,& S)",Inside lot,Severe Slope,Timber,Norm,Norm,1Fam,One story,Good,Average,1965,1965,Hip,Standard (Composite) Shingle,Brick Face,BrkFace,0,TA,Average/Typical,CBlock,Good (90-99 inches),Typical - slight dampness allowed,Good Exposure,Average Living Quarters,1236,Average Rec Room,820,80,2136,Gas hot water or steam heat,Average/Typical,Y,Standard Circuit Breakers & Romex,2036,0,0,2036,2,0,2,0,3,1,Typical/Average,8,Typical Functionality,2,Good - Masonry Fireplace on the main level,Attached to the home,1965.0,Rough Finished,2,513,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,No,No,No,0,Jun,2009,Warranty Deed - Conventional,Normal Sale,375000
314,2-STORY 1945 & OLDER,Residential Medium Density,60,9600,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,OldTown,Norm,Norm,1Fam,Two-story,Good,Good,1925,1990,Gable,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,0,TA,Average/Typical,BrkTil,Typical (80-89 inches),Good,No Exposure,Low Quality,16,Unfinished,0,712,728,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,832,809,0,1641,0,1,1,1,3,1,Excellent,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1925.0,Unfinished,2,546,Fair,Typical/Average,Paved,0,0,234,0,0,0,No,No,No,0,Aug,2006,Warranty Deed - Conventional,Normal Sale,178000
315,2-STORY 1946 & NEWER,Residential Low-Density,71,7795,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Gilbert,Norm,Norm,1Fam,Two-story,Good,Average,2004,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,425,Unfinished,0,291,716,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,716,716,0,1432,1,0,2,1,3,1,Good,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2004.0,Finished,2,432,Typical/Average,Typical/Average,Paved,100,51,0,0,0,0,No,No,No,0,Jul,2009,Warranty Deed - Conventional,Normal Sale,188500
316,2-STORY 1946 & NEWER,Residential Low-Density,94,13005,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,NWAmes,Norm,Norm,1Fam,Two-story,Good,Good,1980,1980,Gable,Standard (Composite) Shingle,Cement Board,CmentBd,278,Gd,Average/Typical,CBlock,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,692,Unfinished,0,153,845,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1153,1200,0,2353,1,0,2,1,4,1,Excellent,10,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1983.0,Rough Finished,2,484,Typical/Average,Typical/Average,Paved,288,195,0,0,0,0,No,Good Privacy,No,0,Aug,2009,Warranty Deed - Conventional,Normal Sale,260000
317,2-STORY 1946 & NEWER,Floating Village Residential,75,9000,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerst,Norm,Norm,1Fam,Two-story,Very Good,Average,2006,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Unfinished,0,Unfinished,0,1088,1088,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1088,871,0,1959,0,0,2,1,3,1,Good,8,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2006.0,Rough Finished,3,1025,Typical/Average,Typical/Average,Paved,208,46,0,0,0,0,No,No,No,0,Dec,2007,Warranty Deed - Conventional,Normal Sale,270000
318,2-STORY 1946 & NEWER,Residential Low-Density,90,9900,Paved,Regular,Low,"All public Utilities (E,G,W,& S)",Inside lot,Moderate Slope,Northridge,Norm,Norm,1Fam,Two-story,Good,Average,1993,1993,Gable,Standard (Composite) Shingle,Hard Board,HdBoard,256,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters,987,Unfinished,0,360,1347,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1372,1274,0,2646,1,0,2,1,4,1,Good,9,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1993.0,Rough Finished,3,656,Typical/Average,Typical/Average,Paved,340,60,144,0,0,0,No,No,No,0,Apr,2009,Warranty Deed - Conventional,Normal Sale,260000
319,SPLIT OR MULTI-LEVEL,Residential Low-Density,0,14115,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NWAmes,Norm,Norm,1Fam,Split Level,Good,Average,1980,1980,Gable,Standard (Composite) Shingle,Plywood,Plywood,225,TA,Average/Typical,CBlock,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,1036,Unfinished,0,336,1372,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1472,0,0,1472,1,0,2,0,3,1,Typical/Average,6,Typical Functionality,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1980.0,Unfinished,2,588,Typical/Average,Typical/Average,Paved,233,48,0,0,0,0,No,No,No,0,Jun,2009,Warranty Deed - Conventional,Normal Sale,187500
320,2-STORY 1946 & NEWER,Residential Low-Density,111,16259,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,Northridge Heights,Norm,Norm,1Fam,Two-story,Excellent,Average,2006,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,370,TA,Average/Typical,PConc,Excellent (100+ inches),Good,Average Exposure (split levels or foyers typically score average or above),Unfinished,0,Unfinished,0,1249,1249,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1249,1347,0,2596,0,0,3,1,4,1,Good,9,Typical Functionality,0,No,Attached to the home,2006.0,Rough Finished,3,840,Typical/Average,Typical/Average,Paved,240,154,0,0,0,0,No,No,No,0,Sep,2006,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),342643
321,2-STORY 1946 & NEWER,Residential Low-Density,99,12099,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Norm,Norm,1Fam,Two-story,Very Good,Average,2004,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,388,Gd,Average/Typical,PConc,Excellent (100+ inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,970,Unfinished,0,166,1136,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1136,1332,0,2468,1,0,2,1,4,1,Good,10,Typical Functionality,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2004.0,Finished,3,872,Typical/Average,Typical/Average,Paved,184,154,0,0,0,0,No,No,No,0,Jun,2007,Warranty Deed - Conventional,Normal Sale,354000
322,2-STORY 1946 & NEWER,Residential Low-Density,86,10380,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,SawyerW,Norm,Norm,1Fam,Two-story,Good,Average,1986,1987,Gable,Standard (Composite) Shingle,Plywood,Plywood,172,Gd,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Low Quality,28,Average Living Quarters,1474,0,1502,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1553,1177,0,2730,1,0,2,1,4,1,Good,8,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1987.0,Finished,2,576,Typical/Average,Typical/Average,Paved,201,96,0,0,0,0,No,Minimum Privacy,No,0,Aug,2007,Warranty Deed - Conventional,Normal Sale,301000
323,1-STORY 1946 & NEWER ALL STYLES,Residential Medium Density,49,5820,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,OldTown,Norm,Norm,1Fam,One story,Fair,Very Good,1955,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,VinylSd,0,TA,Good,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,256,Unfinished,0,906,1162,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1163,0,0,1163,1,0,1,0,3,1,Typical/Average,6,Typical Functionality,0,No,Attached to the home,1955.0,Unfinished,1,220,Fair,Typical/Average,Paved,142,98,0,0,0,0,No,No,No,0,Jul,2006,Warranty Deed - Conventional,Normal Sale,126175
324,SPLIT OR MULTI-LEVEL,Residential Low-Density,96,11275,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,NAmes,PosN,Norm,1Fam,Split Level,Good,Good,1967,2007,Mansard,Wood Shakes,Wd Sdng,Wd Sdng,300,Gd,Good,CBlock,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,710,710,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1898,1080,0,2978,0,0,2,1,5,1,Good,11,Typical Functionality,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),1961.0,Finished,2,564,Typical/Average,Typical/Average,Paved,240,0,0,0,0,0,No,No,No,0,Jun,2010,Warranty Deed - Conventional,Normal Sale,242000
325,1-1/2 STORY - UNFINISHED ALL AGES,Residential Medium Density,50,5000,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Iowa DOT and Rail Road,RRAe,Norm,1Fam,One and one-half story&2nd level unfinished,Average,Above Average,1941,1950,Gable,Standard (Composite) Shingle,Metal Siding,MetalSd,0,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Below Average Living Quarters,116,Unfinished,0,604,720,Gas forced warm air furnace,Poor,N,60 AMP Fuse Box and mostly Romex wiring (Fair),803,0,0,803,0,0,1,0,2,1,Typical/Average,5,Typical Functionality,0,No,Detached from home,1941.0,Unfinished,2,360,Typical/Average,Typical/Average,Paved,0,0,244,0,0,0,No,No,No,0,Dec,2007,Warranty Deed - Conventional,Normal Sale,87000
326,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,32,10846,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",CulDSac,Gentle slope,Veenker,Norm,Norm,TwnhsE,One story,Very Good,Average,1993,1993,Gable,Standard (Composite) Shingle,Brick Face,BrkFace,0,Gd,Average/Typical,PConc,Good (90-99 inches),Typical - slight dampness allowed,Good Exposure,Good Living Quarters,1619,Unfinished,0,100,1719,Gas forced warm air furnace,Excellent,Y,Standard Circuit Breakers & Romex,1719,0,0,1719,2,0,1,1,1,1,Good,6,Typical Functionality,2,Good - Masonry Fireplace on the main level,Attached to the home,1993.0,Finished,2,473,Typical/Average,Typical/Average,Paved,122,30,0,0,0,0,No,No,No,0,May,2008,Contract 15% Down payment regular terms,Normal Sale,324000
327,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,80,11600,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Norm,Norm,1Fam,One story,Above Average,Average,1960,1960,Hip,Standard (Composite) Shingle,Wd Sdng,Wd Sdng,175,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,565,Unfinished,0,818,1383,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1383,0,0,1383,0,0,1,1,3,1,Typical/Average,7,Typical Functionality,0,No,Attached to the home,1960.0,Rough Finished,1,292,Typical/Average,Typical/Average,Paved,0,45,0,0,0,0,No,No,No,0,Apr,2006,Warranty Deed - Conventional,Normal Sale,145250
328,2-1/2 STORY ALL AGES,Residential Low-Density,0,11888,Paved,Slightly irregular,Bnk,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,PosN,Norm,1Fam,Two and one-half story&2nd level unfinished,Above Average,Above Average,1916,1994,Gable,Standard (Composite) Shingle,Wd Sdng,Wd Shng,0,TA,Average/Typical,BrkTil,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinished,0,Unfinished,0,844,844,Gas forced warm air furnace,Good,N,Fuse Box over 60 AMP and all Romex wiring (Average),1445,689,0,2134,0,0,2,0,5,1,Good,10,Typical Functionality,0,No,Detached from home,1930.0,Unfinished,2,441,Typical/Average,Typical/Average,Paved,0,60,268,0,0,0,No,No,No,0,Jul,2009,Warranty Deed - Conventional,Normal Sale,214500
329,2-STORY 1945 & OLDER,Residential Medium Density,60,6402,Paved,Regular,Lvl,"All public Utilities (E,G,W,& S)",Corner,Gentle slope,Iowa DOT and Rail Road,Norm,Norm,1Fam,Two-story,Average,Average,1920,1950,Gable,Standard (Composite) Shingle,Wd Sdng,Wd Shng,0,TA,Average/Typical,PConc,Typical (80-89 inches),Typical - slight dampness allowed,Minimum Exposure,Unfinished,0,Unfinished,0,596,596,Gas forced warm air furnace,Average/Typical,N,Standard Circuit Breakers & Romex,596,596,0,1192,0,0,1,0,3,1,Typical/Average,6,Typical Functionality,0,No,Detached from home,1920.0,Unfinished,1,189,Fair,Fair,Dirt/Gravel,0,0,137,0,0,0,No,Good Wood,No,0,Jul,2009,Warranty Deed - Conventional,Normal Sale,78000
330,DUPLEX - ALL STYLES AND AGES,Residential Low-Density,0,10624,Paved,Slightly irregular,Lvl,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Norm,Norm,Duplex,One story,Average,Below Average,1964,1964,Gable,Standard (Composite) Shingle,Hard Board,HdBoard,84,TA,Average/Typical,CBlock,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,40,Average Rec Room,264,1424,1728,Gas forced warm air furnace,Average/Typical,Y,Standard Circuit Breakers & Romex,1728,0,0,1728,0,1,2,0,6,2,Typical/Average,10,Typical Functionality,0,No,Detached from home,2002.0,Unfinished,1,352,Typical/Average,Typical/Average,Paved,155,0,0,0,0,0,No,No,No,0,Nov,2007,Warranty Deed - Conventional,Normal Sale,119000
